nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
CDHVitoria,2P,DD,2P / DD,Sí,Discreta,Civil,local,CDMX,Asociación Civil,8,1,2.8284271247,1.83862204662539E-05,66.7240430189,0,375.6444641582,2,1,1,2,3,4,0.000600601,40,123
CDMP,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Puebla,Informal,14,3,6.4807406984,2.37356396919495E-05,73.3171940604,207,333.125459953,2,0.4615384615,0.4505494505,2,9,11,0.0018018,21.2857142857,27.6666666667
CEB,RL,NA,RL,No,Matriz,Matriz religiosa,nacional,Nacional,Desconocida,5,1,2.2360679775,5.72439312019537E-10,52.3579927848,0,6.186886708,2,1,1,4,15,29,0.000600601,7.2,7
CECOP,AD,NA,AD,No,Discreta,Civil,local,Guerrero,Informal,10,11,10.4880884817,6.73631909023905E-05,105.0125458528,69.3333333333,201.715417546,2,0.8109427609,0.6222222222,9,26,1,0.00660661,19,22.0909090909
CEND-SNTE,SPB,ED,SPB / ED,No,Matriz,Económico-gremial,nacional,Nacional,Sindical,17,2,5.8309518948,2.11637887731872E-05,68.9253815612,0,693.2959368911,2,0.6701388889,0.6323529412,2,12,4,0.0012012,29.1764705882,72
CENEO,ES,NA,ES,No,Matriz,Urbano-gremial,local,Oaxaca,Desconocida,1,4,2,0.0007766372,105.3336898436,0,63.1826352635,2,0,0,17,27,3,0.0024024,65,12.5
Centro Prodh,DD,NA,DD,No,Discreta,Civil,local,CDMX,Asociación Civil,5,2,3.1622776602,4.13491493029977E-07,73.2370207599,24.5,52.6630171497,2,0.6666666667,0.6,5,5,14,0.0012012,13,13.5
CETEG,ED,SPB,ED / SPB,No,Matriz,Económico-gremial,local,Guerrero,Desconocida,32,93,54.5527267879,0.0012974158,131.4302928549,7133.8333333333,551.9885913848,2,0.2631402474,0.1713709677,9,28,1,0.0558559,16,3.9247311828
CE-UAEH,ES,NA,ES,No,Discreta,Urbano-gremial,local,Hidalgo,Comité Estudiantil,1,1,1,2.45367664761639E-18,1,0,1.0449320794,7,0,0,,7,,,1,1
CHYNAC,CU,NA,CU,No,Discreta,Cultural,local,Puebla,Asociación Civil,8,1,2.8284271247,1.10135618028922E-07,59.8357291645,0,63.5297465631,2,1,1,2,7,11,0.000600601,17.25,67
CIDHM,DD,NA,DD,No,Discreta,Civil,local,Morelos,Asociación Civil,5,3,3.8729833462,4.14001985951522E-05,100.1545090901,0,186.0276318089,2,0.8125,0.7,11,5,4,0.0018018,34.6,20.3333333333
CILAS,2P,NA,2P,No,Discreta,Civil,local,CDMX,Asociación Civil,17,3,7.1414284285,8.66672316408459E-07,72.7642215542,700,126.0395183882,2,0.3,0.3088235294,2,22,17,0.0018018,11.3529411765,18.6666666667
CIOAC,CA,NA,CA,Sí,Matriz,Económico-gremial,nacional,Nacional,Asociación Civil,24,18,20.7846096908,6.27220324239379E-06,103.3370522993,38.1666666667,305.7926320739,2,0.5454508857,0.3876811594,1,10,7,0.0108108,17.4583333333,13.9444444444
CIPO-RFM,IN,NA,IN,No,Discreta,Indígena,local,Oaxaca,Desconocida,4,1,2,2.12243523070418E-07,53.8953153729,0,9.1996258026,2,1,1,4,29,8,0.000600601,7,9
CiudadanosObs,FE,NA,FE,No,Discreta,Civil,local,San Luis Potosí,Asociación Civil,1,1,1,3.68051497142458E-18,1.5,0,1.0468713302,8,0,0,,4,,,2,2
CLE,AV,MIG,AV / MIG,No,Discreta,Civil,nacional,Nacional,Organización eventual,1,8,2.8284271247,1.22683832380819E-18,2.8284271247,0,1.0449320794,9,0,0,,5,,,1,1
CLEM,SP,NA,SP,No,Paraguas,Económico-gremial,local,Estado de México,Desconocida,5,1,2.2360679775,2.67179068831905E-05,70.9234796243,0,354.8623562503,2,1,1,2,18,4,0.000600601,55.4,88
ClubRotario,PS,NA,PS,No,Discreta,Civil,local,Baja California Sur,Asociación de Beneficiencia Privada,5,1,2.2360679775,1.96294131809311E-17,2.7839709209,0,1.2788829578,3,1,1,,4,,,5.4,6
CMDPDH,DD,NA,DD,Sí,Discreta,Civil,nacional,Nacional,Asociación Civil,8,1,2.8284271247,2.22487679253597E-08,54.820342482,0,38.6541528086,2,1,1,4,3,8,0.000600601,13.625,27
