exactitud,EPs,lat,lon,Estado,Municipio,Lugar,Bloqueo,Plantón,Marcha,Mitin,Paro de labores,#Repertorios,Repertorio_de_referencia,Repertorio_de_referencia_,Repertorio_de_referencia2
sí,4,16.7548014,-93.0829551,Chiapas,Tuxtla Gutiérrez,"instalaciones de Televisa y Tv Azteca Chiapas, estaciones de radio, Torre Chiapas y caseta de cobro rumbo a San Cristóbal de Las Casas",0,0,0,0,0,2,Varios,Varios,Varios
sí,1,16.755257,-93.11553,Chiapas,Tuxtla Gutiérrez,Alcaldía,0,0,0,0,1,2,Paro de labores,Paro de labores,Paro de labores
sí,6,16.7552928,-93.1233807,Chiapas,Tuxtla Gutiérrez,plaza mayor,0,1,0,0,0,1,Varios,Varios,Varios
sí,1,16.7553555,-93.1255509,Chiapas,Tuxtla Gutiérrez,Parque de la Marimba,0,1,0,1,1,4,Plantón,Plantón,Plantón
sí,1,16.756775,-93.1160956,Chiapas,Tuxtla Gutiérrez,Oficinas del PRD y Nueva Alianza,0,0,0,1,1,2,Mitin,Mitin,Mitin
sí,1,16.7574745,-93.1657996,Chiapas,Tuxtla Gutiérrez,Blvd Belisario Domínguez,1,0,0,0,1,2,Bloqueo,Bloqueo,Bloqueo
sí,2,16.7620214,-99.7543131,Guerrero,Acapulco de Juárez,Aeropuerto Internacional Juan N. Álvarez,1,1,1,1,0,5,Varios,Varios,Varios
sí,12,16.7623713,-93.1006929,Chiapas,Tuxtla Gutiérrez,oficinas de la secretaría y la subsecretaría de Educación estatales y la caseta de cobro San Cristóbal de las Casas-Tuxtla Gutierrez,0,0,0,0,0,2,Varios,Varios,Varios
sí,4,16.7643692,-93.1252635,Chiapas,Tuxtla Gutiérrez,Televisa y TV Azteca,0,1,0,0,1,3,Varios,Varios,Varios
sí,5,16.766325,-93.1949069,Chiapas,Tuxtla Gutiérrez,"torre de Petróleos Mexicanos,  oficinas de la Secretaría de Educación de Chiapas, de la Subsecretaría de Educación Federalizada en Tuxtla y casetas de cobro",0,0,0,0,1,3,Varios,Varios,Varios
sí,3,16.7690307,-93.1954269,Chiapas,Tuxtla Gutiérrez,carretera Chiapas-Tuxtla Gutierrez,0,0,0,0,1,2,Varios,Varios,Varios
